Genus,Strain,Syncom
Acinetobacter,Root1280,Tolerant
Bordetella,Root565,Tolerant
Pseudomonas,Root9,Tolerant
Bacillus,Root239,Tolerant
Noviherbaspirillum,Root189,Tolerant
Acidovorax,Root217,Tolerant
Rhizobium,Root1203,Tolerant
Rhodanobacter,Root561,Tolerant
Massilia,Root133,Tolerant
Oerskovia,Root918,Tolerant
Microbacterium,Root166,Tolerant
Streptomyces,Root66D1,Tolerant
Acinetobacter,Root1280,Random
Bordetella,Root565,Random
Pseudomonas,Root329,Random
Bacillus,Soil531,Random
Noviherbaspirillum,Root189,Random
Flavobacterium,Root420,Random
Hoeflea,Root268,Random
Rhodanobacter,Soil772,Random
Microbacterium,Root322,Random
Acidovorax,Root217,Random
Massilia,Root133,Random
Ensifer,Root1252,Random
Arthrobacter,Soil736,Random
Oerskovia,Root22,Random
Nocardioides,Root1257,Random
Phycicoccus,Root563,Random
Sphingomonas,Root1294,Random
Pseudoxanthomonas,Root65,Random
Afipia,Root123D2,Random
Variovorax,Root411,Random
Lysobacter,Root983,Sensitive
Flavobacterium,Root935,Sensitive
Microbacterium,Root61,Sensitive
Bacillus,Soil531,Sensitive
Acidovorax,Root70,Sensitive
Hydrogenophaga,Root209,Sensitive
Ensifer,Root142,Sensitive
Bacillus,Root239,Mixed
Hoeflea,Root268,Mixed
Lysobacter,Root96,Mixed
Acidovorax,Root70,Mixed
Duganella,Root1480D1,Mixed
Microbacterium,Root180,Mixed
Massilia,Root133,Mixed
Flavobacterium,Root420,Mixed
